# time_flux P1 P2 Z PO4 Psupply
4.170000000000000284e+01 2.541553306628792641e-01 3.293099823045851915e-01 4.343955308599276033e-01 2.620561878471693862e-01 5.000000000000000278e-02
4.180000000000000426e+01 2.541553306628792641e-01 3.293099823045851915e-01 4.343955308599276033e-01 2.620561878471693862e-01 5.000000000000000278e-02
4.190000000000000568e+01 2.544090624964616687e-01 3.297392219159969717e-01 4.336949185057379919e-01 2.619231112761318259e-01 5.000000000000000278e-02
4.200000000000000000e+01 2.544090624964616687e-01 3.297392219159969717e-01 4.336949185057379919e-01 2.619231112761318259e-01 5.000000000000000278e-02
4.210000000000000142e+01 2.546721815500274655e-01 3.301660930258559778e-01 4.330015528975676431e-01 2.617850773892478888e-01 5.000000000000000278e-02
4.220000000000000284e+01 2.546721815500274655e-01 3.301660930258559778e-01 4.330015528975676431e-01 2.617850773892478888e-01 5.000000000000000278e-02
4.230000000000000426e+01 2.549444354525240986e-01 3.305904521569725807e-01 4.323155453798051551e-01 2.616422300768498910e-01 5.000000000000000278e-02
4.240000000000000568e+01 2.549444354525240986e-01 3.305904521569725807e-01 4.323155453798051551e-01 2.616422300768498910e-01 5.000000000000000278e-02
4.250000000000000000e+01 2.552255736151276544e-01 3.310121587936610266e-01 4.316370020740505353e-01 2.614947132667572727e-01 5.000000000000000278e-02
4.260000000000000142e+01 2.552255736151276544e-01 3.310121587936610266e-01 4.316370020740505353e-01 2.614947132667572727e-01 5.000000000000000278e-02
4.270000000000000284e+01 2.555153472538222448e-01 3.314310754202057230e-01 4.309660239834273154e-01 2.613426708201841975e-01 5.000000000000000278e-02
4.280000000000000426e+01 2.555153472538222448e-01 3.314310754202057230e-01 4.309660239834273154e-01 2.613426708201841975e-01 5.000000000000000278e-02
4.290000000000000568e+01 2.558135094114029062e-01 3.318470675568693240e-01 4.303027070957456957e-01 2.611862464300854780e-01 5.000000000000000278e-02
4.300000000000000000e+01 2.558135094114029062e-01 3.318470675568693240e-01 4.303027070957456957e-01 2.611862464300854780e-01 5.000000000000000278e-02
4.310000000000000142e+01 2.561198149789334910e-01 3.322600037934291817e-01 4.296471424854781396e-01 2.610255835220020582e-01 5.000000000000000278e-02
4.320000000000000284e+01 2.561198149789334910e-01 3.322600037934291817e-01 4.296471424854781396e-01 2.610255835220020582e-01 5.000000000000000278e-02
4.330000000000000426e+01 2.564340207166861951e-01 3.326697558202315053e-01 4.289994164145097266e-01 2.608608251574635606e-01 5.000000000000000278e-02
4.340000000000000568e+01 2.564340207166861951e-01 3.326697558202315053e-01 4.289994164145097266e-01 2.608608251574635606e-01 5.000000000000000278e-02
4.350000000000000000e+01 2.567558852745874809e-01 3.330761984567552902e-01 4.283596104316322317e-01 2.606921139400021348e-01 5.000000000000000278e-02
4.360000000000000142e+01 2.567558852745874809e-01 3.330761984567552902e-01 4.283596104316322317e-01 2.606921139400021348e-01 5.000000000000000278e-02
4.370000000000000284e+01 2.570851692121908227e-01 3.334792096776830195e-01 4.277278014707519005e-01 2.605195919238270652e-01 5.000000000000000278e-02
4.380000000000000426e+01 2.570851692121908227e-01 3.334792096776830195e-01 4.277278014707519005e-01 2.605195919238270652e-01 5.000000000000000278e-02
4.390000000000000568e+01 2.574216350181960378e-01 3.338786706364781365e-01 4.271040619477865508e-01 2.603434005252030503e-01 5.000000000000000278e-02
4.400000000000000000e+01 2.574216350181960378e-01 3.338786706364781365e-01 4.271040619477865508e-01 2.603434005252030503e-01 5.000000000000000278e-02
4.410000000000000142e+01 2.577650471295296342e-01 3.342744656864720665e-01 4.264884598562283524e-01 2.601636804365748401e-01 5.000000000000000278e-02
4.420000000000000284e+01 2.577650471295296342e-01 3.342744656864720665e-01 4.264884598562283524e-01 2.601636804365748401e-01 5.000000000000000278e-02
4.430000000000000426e+01 2.581151719500008324e-01 3.346664823994683347e-01 4.258810588613544668e-01 2.599805715434712616e-01 5.000000000000000278e-02
4.440000000000000568e+01 2.581151719500008324e-01 3.346664823994683347e-01 4.258810588613544668e-01 2.599805715434712616e-01 5.000000000000000278e-02
4.450000000000000000e+01 2.584717778685446943e-01 3.350546115818732740e-01 4.252819183930678371e-01 2.597942128442211618e-01 5.000000000000000278e-02
4.460000000000000142e+01 2.584717778685446943e-01 3.350546115818732740e-01 4.252819183930678371e-01 2.597942128442211618e-01 5.000000000000000278e-02
4.470000000000000284e+01 2.588346352770616310e-01 3.354387472883684218e-01 4.246910937373547523e-01 2.596047423725066361e-01 5.000000000000000278e-02
4.480000000000000426e+01 2.588346352770616310e-01 3.354387472883684218e-01 4.246910937373547523e-01 2.596047423725066361e-01 5.000000000000000278e-02
4.490000000000000568e+01 2.592035165878620040e-01 3.358187868331403148e-01 4.241086361263483040e-01 2.594122971227751373e-01 5.000000000000000278e-02
4.500000000000000000e+01 2.592035165878620040e-01 3.358187868331403148e-01 4.241086361263483040e-01 2.594122971227751373e-01 5.000000000000000278e-02
4.510000000000000142e+01 2.595781962507220930e-01 3.361946307986891092e-01 4.235345928269882432e-01 2.592170129785267285e-01 5.000000000000000278e-02
4.520000000000000284e+01 2.595781962507220930e-01 3.361946307986891092e-01 4.235345928269882432e-01 2.592170129785267285e-01 5.000000000000000278e-02
4.530000000000000426e+01 2.599584507695572033e-01 3.365661830422383427e-01 4.229690072282711877e-01 2.590190246434892485e-01 5.000000000000000278e-02
4.540000000000000568e+01 2.599584507695572033e-01 3.365661830422383427e-01 4.229690072282711877e-01 2.590190246434892485e-01 5.000000000000000278e-02
4.550000000000000000e+01 2.603440587187152433e-01 3.369333506997742589e-01 4.224119189270869601e-01 2.588184655756881059e-01 5.000000000000000278e-02
4.560000000000000142e+01 2.603440587187152433e-01 3.369333506997742589e-01 4.224119189270869601e-01 2.588184655756881059e-01 5.000000000000000278e-02
4.570000000000000284e+01 2.607348007588951577e-01 3.372960441877426163e-01 4.218633638126373375e-01 2.586154679244135335e-01 5.000000000000000278e-02
4.580000000000000426e+01 2.607348007588951577e-01 3.372960441877426163e-01 4.218633638126373375e-01 2.586154679244135335e-01 5.000000000000000278e-02
4.590000000000000568e+01 2.611304596526916599e-01 3.376541772024364563e-01 4.213233741494387119e-01 2.584101624700838040e-01 5.000000000000000278e-02
4.600000000000000000e+01 2.611304596526916599e-01 3.376541772024364563e-01 4.213233741494387119e-01 2.584101624700838040e-01 5.000000000000000278e-02
4.610000000000000142e+01 2.615308202797683723e-01 3.380076667171102445e-01 4.207919786589088829e-01 2.582026785669980229e-01 5.000000000000000278e-02
4.620000000000000284e+01 2.615308202797683723e-01 3.380076667171102445e-01 4.207919786589088829e-01 2.582026785669980229e-01 5.000000000000000278e-02
